"sequence_id","position","state","group","channel","weight"
"S012",23,"A","comparison","primary",1
"S013",23,"D","reference","primary",1
"S014",23,"C","comparison","primary",1
"S015",23,"B","reference","primary",1
"S016",23,"A","comparison","primary",1
"S017",23,"D","reference","primary",1
"S018",23,"C","comparison","primary",1
"S019",23,"B","reference","primary",1
"S020",23,"A","comparison","primary",1
"S021",23,"D","reference","primary",1
"S022",23,"C","comparison","primary",1
"S023",23,"B","reference","primary",1
"S024",23,"A","comparison","primary",1
"S025",23,"D","reference","primary",1
"S026",23,"C","comparison","primary",1
"S027",23,"B","reference","primary",1
"S028",23,"A","comparison","primary",1
"S029",23,"D","reference","primary",1
"S030",23,"C","comparison","primary",1
"S031",23,"B","reference","primary",1
"S032",23,"A","comparison","primary",1
"S033",23,"D","reference","primary",1
"S034",23,"C","comparison","primary",1
"S035",23,"B","reference","primary",1
"S036",23,"A","comparison","primary",1
"S037",23,"D","reference","primary",1
"S038",23,"C","comparison","primary",1
"S039",23,"B","reference","primary",1
"S040",23,"A","comparison","primary",1
"S041",23,"D","reference","primary",1
"S042",23,"C","comparison","primary",1
"S043",23,"B","reference","primary",1
"S044",23,"A","comparison","primary",1
"S045",23,"D","reference","primary",1
"S046",23,"C","comparison","primary",1
"S047",23,"B","reference","primary",1
"S048",23,"A","comparison","primary",1
"S049",23,"D","reference","primary",1
"S050",23,"C","comparison","primary",1
"S051",23,"B","reference","primary",1
"S052",23,"A","comparison","primary",1
"S053",23,"D","reference","primary",1
"S054",23,"C","comparison","primary",1
"S055",23,"B","reference","primary",1
"S056",23,"A","comparison","primary",1
"S057",23,"D","reference","primary",1
"S058",23,"C","comparison","primary",1
"S059",23,"B","reference","primary",1
"S060",23,"A","comparison","primary",1
"S061",23,"D","reference","primary",1
"S062",23,"C","comparison","primary",1
"S063",23,"B","reference","primary",1
"S064",23,"A","comparison","primary",1
"S065",23,"D","reference","primary",1
"S066",23,"C","comparison","primary",1
"S067",23,"B","reference","primary",1
"S068",23,"A","comparison","primary",1
"S069",23,"D","reference","primary",1
"S070",23,"C","comparison","primary",1
"S071",23,"B","reference","primary",1
"S072",23,"A","comparison","primary",1
"S001",24,"A","reference","primary",1
"S002",24,"A","comparison","primary",1
"S003",24,"C","reference","primary",1
"S004",24,"C","comparison","primary",1
"S005",24,"A","reference","primary",1
"S006",24,"A","comparison","primary",1
"S007",24,"C","reference","primary",1
"S008",24,"C","comparison","primary",1
"S009",24,"A","reference","primary",1
"S010",24,"A","comparison","primary",1
"S011",24,"C","reference","primary",1
"S012",24,"C","comparison","primary",1
"S013",24,"A","reference","primary",1
"S014",24,"A","comparison","primary",1
"S015",24,"C","reference","primary",1
"S016",24,"C","comparison","primary",1
"S017",24,"A","reference","primary",1
"S018",24,"A","comparison","primary",1
"S019",24,"C","reference","primary",1
"S020",24,"C","comparison","primary",1
"S021",24,"A","reference","primary",1
"S022",24,"A","comparison","primary",1
"S023",24,"C","reference","primary",1
"S024",24,"C","comparison","primary",1
"S025",24,"A","reference","primary",1
"S026",24,"A","comparison","primary",1
"S027",24,"C","reference","primary",1
"S028",24,"C","comparison","primary",1
"S029",24,"A","reference","primary",1
"S030",24,"A","comparison","primary",1
"S031",24,"C","reference","primary",1
"S032",24,"C","comparison","primary",1
"S033",24,"A","reference","primary",1
"S034",24,"A","comparison","primary",1
"S035",24,"C","reference","primary",1
"S036",24,"C","comparison","primary",1
"S037",24,"A","reference","primary",1
"S038",24,"A","comparison","primary",1
"S039",24,"C","reference","primary",1
"S040",24,"C","comparison","primary",1
"S041",24,"A","reference","primary",1
"S042",24,"A","comparison","primary",1
"S043",24,"C","reference","primary",1
"S044",24,"C","comparison","primary",1
"S045",24,"A","reference","primary",1
"S046",24,"A","comparison","primary",1
"S047",24,"C","reference","primary",1
"S048",24,"C","comparison","primary",1
"S049",24,"A","reference","primary",1
"S050",24,"A","comparison","primary",1
"S051",24,"C","reference","primary",1
"S052",24,"C","comparison","primary",1
"S053",24,"A","reference","primary",1
"S054",24,"A","comparison","primary",1
"S055",24,"C","reference","primary",1
"S056",24,"C","comparison","primary",1
"S057",24,"A","reference","primary",1
"S058",24,"A","comparison","primary",1
"S059",24,"C","reference","primary",1
"S060",24,"C","comparison","primary",1
"S061",24,"A","reference","primary",1
"S062",24,"A","comparison","primary",1
"S063",24,"C","reference","primary",1
"S064",24,"C","comparison","primary",1
"S065",24,"A","reference","primary",1
"S066",24,"A","comparison","primary",1
"S067",24,"C","reference","primary",1
"S068",24,"C","comparison","primary",1
"S069",24,"A","reference","primary",1
"S070",24,"A","comparison","primary",1
"S071",24,"C","reference","primary",1
"S072",24,"C","comparison","primary",1
